ActualPower;Max Capacity;Location 3;Location 5;Location 7;Location 9
12,151;42,5;6,464;6,426;6,195;5,444
11,507;42,5;6,259;6,218;5,94;5,09
10,518;42,5;6,142;6,092;5,767;4,802
9,776;42,5;6,044;5,99;5,638;4,563
8,625;42,5;5,975;5,921;5,577;4,421
7,42;42,5;5,916;5,865;5,537;4,35
7,269;42,5;5,879;5,832;5,507;4,306
9,902;42,5;5,828;5,788;5,458;4,26
11,465;42,5;5,761;5,734;5,397;4,213
9,882;42,5;5,68;5,663;5,332;4,189
7,178;42,5;5,666;5,653;5,337;4,242
3,982;42,5;5,695;5,684;5,389;4,35
2,277;42,5;5,73;5,728;5,479;4,522
1,969;42,5;5,757;5,748;5,551;4,684
2,263;42,5;5,759;5,726;5,567;4,764
4,163;42,5;5,788;5,734;5,576;4,794
6,717;42,5;5,808;5,773;5,619;4,859
8,076;42,5;5,804;5,801;5,69;4,972
7,479;42,5;5,787;5,789;5,728;5,062
9,844;42,5;5,789;5,78;5,748;5,123
14,316;42,5;5,815;5,8;5,783;5,193
15,434;42,5;5,849;5,83;5,825;5,266
15,568;42,5;5,869;5,845;5,849;5,318
15,091;42,5;5,871;5,838;5,858;5,353
13,599;42,5;5,882;5,835;5,873;5,39
15,921;42,5;5,893;5,838;5,896;5,413
16,83;42,5;5,641;5,637;5,77;5,433
16,624;42,5;5,854;5,775;5,791;5,222
17,207;42,5;6,169;6,077;6,058;5,399
18,488;42,5;6,372;6,285;6,233;5,501
20,035;42,5;6,488;6,406;6,356;5,613
20,31;42,5;6,59;6,522;6,476;5,698
20,541;42,5;6,67;6,622;6,575;5,733
18,922;42,5;6,787;6,763;6,722;5,829
21,315;42,5;6,938;6,938;6,915;5,979
22,273;42,5;7,133;7,145;7,12;6,13
23,385;42,5;7,328;7,362;7,316;6,236
21,099;42,5;7,441;7,513;7,432;6,235
20,379;42,5;7,457;7,576;7,457;6,172
20,31;42,5;7,393;7,559;7,41;6,078
19,634;42,5;7,288;7,477;7,304;5,972
18,41;42,5;7,188;7,377;7,177;5,862
19,437;42,5;7,082;7,261;7,05;5,765
17,052;42,5;6,988;7,135;6,927;5,705
14,332;42,5;6,915;7,035;6,836;5,613
12,367;42,5;6,857;6,92;6,749;5,573
10,008;42,5;6,845;6,847;6,699;5,581
9,107;42,5;6,862;6,823;6,718;5,717
9,899;42,5;6,909;6,879;6,849;5,943
8,004;42,5;6,93;6,946;7,034;6,253
7,076;42,5;6,893;6,955;7,167;6,552
6,979;42,5;6,83;6,906;7,193;6,748
6,235;42,5;6,762;6,831;7,13;6,806
5,493;41,25;6,68;6,747;7,024;6,764
5,041;41,25;6,597;6,672;6,935;6,71
4,293;41,25;6,54;6,622;6,888;6,686
3,664;41,25;6,451;6,54;6,822;6,657
4,257;41,25;6,039;6,133;6,405;6,248
4,922;41,25;5,766;5,848;6,176;6,115
5,523;41,25;5,691;5,75;6,088;6,01
5,109;41,25;5,638;5,665;5,982;5,869
4,4;41,25;5,608;5,601;5,882;5,739
4,282;41,25;5,602;5,574;5,819;5,619
5,011;41,25;5,618;5,587;5,804;5,521
4,88;41,25;5,652;5,623;5,815;5,436
4,478;41,25;5,687;5,657;5,821;5,347
4,938;41,25;5,709;5,67;5,797;5,246
7,152;41,25;5,709;5,659;5,748;5,143
8,558;42,5;5,684;5,624;5,679;5,038
7,508;42,5;5,635;5,57;5,599;4,933
6,84;42,5;5,574;5,509;5,52;4,838
7,851;42,5;5,496;5,429;5,429;4,743
8,479;42,5;5,392;5,318;5,314;4,638
8,355;42,5;5,273;5,192;5,19;4,523
8,125;42,5;5,151;5,067;5,068;4,407
7,57;42,5;5,03;4,945;4,954;4,298
7,52;42,5;4,906;4,827;4,842;4,184
6,908;42,5;4,797;4,722;4,737;4,076
7,079;42,5;4,74;4,667;4,672;4,002
8,576;42,5;4,722;4,651;4,644;3,973
9,668;42,5;4,741;4,669;4,647;3,977
9,581;42,5;4,785;4,714;4,676;4,009
8,056;42,5;4,825;4,756;4,705;4,041
7,3;42,5;4,843;4,779;4,716;4,051
8,096;42,5;4,84;4,779;4,706;4,023
9,142;42,5;4,829;4,771;4,685;3,981
9,1;42,5;4,827;4,77;4,664;3,936
9,051;42,5;4,846;4,788;4,657;3,909
8,462;42,5;4,874;4,813;4,662;3,903
9,473;42,5;4,906;4,841;4,677;3,912
10,093;42,5;4,934;4,864;4,692;3,924
9,642;42,5;4,954;4,878;4,701;3,934
9,407;42,5;4,974;4,897;4,722;3,959
9,164;42,5;5;4,924;4,758;4,004
8,752;42,5;5,739;5,599;5,292;4,255
10,284;42,5;5,721;5,592;5,317;4,261
9,513;42,5;5,649;5,528;5,283;4,22
11,491;42,5;5,558;5,442;5,222;4,173
11,608;42,5;5,512;5,409;5,208;4,18
10,781;42,5;5,508;5,411;5,218;4,215
11,972;42,5;5,509;5,408;5,209;4,235
16,172;42,5;5,452;5,345;5,141;4,189
19,143;42,5;5,348;5,234;5,024;4,076
20,997;42,5;5,311;5,199;4,989;4,035
22,435;42,5;5,332;5,223;5,016;4,066
22,73;42,5;5,352;5,241;5,036;4,106
21,686;42,5;5,352;5,239;5,029;4,114
21,407;42,5;5,335;5,217;4,993;4,084
21,138;42,5;5,315;5,193;4,959;4,05
21,049;42,5;5,285;5,168;4,94;4,041
20,644;42,5;5,259;5,152;4,941;4,056
20,862;42,5;5,253;5,157;4,961;4,087
20,519;42,5;5,265;5,182;4,997;4,126
19,199;42,5;5,289;5,214;5,037;4,165
18,323;42,5;5,304;5,226;5,053;4,18
14,059;42,5;5,306;5,227;5,056;4,178
12,108;42,5;5,307;5,229;5,061;4,174
11,059;42,5;5,309;5,238;5,072;4,172
10,116;42,5;5,311;5,248;5,083;4,168
10,097;42,5;5,287;5,23;5,062;4,133
11,131;42,5;5,232;5,182;5,015;4,077
10,868;42,5;5,162;5,122;4,96;4,024
10,941;42,5;4,817;4,812;4,695;3,876
11,128;42,5;5,213;5,235;5,111;4,259
11,59;42,5;5,492;5,516;5,386;4,535
12,539;42,5;5,59;5,622;5,48;4,656
11,384;42,5;5,562;5,583;5,42;4,643
10,842;42,5;5,519;5,534;5,365;4,662
10,214;42,5;5,543;5,555;5,375;4,709
9,339;42,5;5,598;5,612;5,425;4,749
9,195;42,5;5,698;5,697;5,49;4,785
9,544;42,5;5,835;5,827;5,597;4,878
8,943;42,5;5,966;5,971;5,73;5,002
8,875;42,5;6,062;6,068;5,827;5,089
9,483;42,5;6,149;6,152;5,914;5,169
9,443;42,5;6,258;6,277;6,051;5,3
